,test/afro_112.jpg,test/afro_40.jpg,test/afro_745.jpg,test/barbering_793.jpg,test/barbering_796.jpg,test/barbering_802.jpg,test/colour_17.jpg,test/colour_173.jpg,test/colour_185.jpg,test/colour_191.jpg,test/colour_195.jpg,test/colour_209.jpg,test/colour_212.jpg,test/colour_213.jpg,test/colour_215.jpg,test/colour_240.jpg,test/colour_294.jpg,test/colour_304.jpg,test/colour_319.jpg,test/colour_331.jpg,test/colour_361.jpg,test/colour_366.jpg,test/colour_371.jpg,test/colour_376.jpg,test/colour_415.jpg,test/colour_434.jpg,test/colour_72.jpg,test/colour_75.jpg,test/long_296.jpg,test/long_334.jpg,test/long_39.jpg,test/long_50.jpg,test/long_51.jpg,test/long_724.jpg,test/mid-length_192.jpg,test/mid-length_193.jpg,test/mid-length_285.jpg,test/short_104.jpg,test/short_233.jpg,test/short_251.jpg,test/short_306.jpg,test/short_99.jpg,test/special-occasions_355.jpg,test/special-occasions_357.jpg,test/special-occasions_475.jpg,test/special-occasions_495.jpg,test/special-occasions_556.jpg,test/special-occasions_602.jpg,test/special-occasions_860.jpg,test/special-occasions_885.jpg,uploaded_image
test/colour_361.jpg,0.42229244,0.34555182,0.41807592,0.46929514,0.4135828,0.40846422,0.5249499,0.631546,0.4440342,0.39924565,0.46572095,0.53078014,0.49761286,0.4663521,0.38416624,0.49625307,0.5415492,0.52159876,0.576679,0.61956215,0.9999999,0.7309633,0.64927197,0.73478293,0.48294145,0.41466367,0.40540978,0.52006066,0.39648837,0.4677063,0.5357196,0.6200872,0.52798915,0.46905476,0.39632696,0.48156404,0.41635233,0.4268238,0.5539994,0.47535133,0.4289746,0.4426311,0.4349399,0.40452498,0.41845882,0.37905234,0.44847795,0.47911826,0.4151569,0.44797677,0.37572616
test/colour_366.jpg,0.36524788,0.34977165,0.3447898,0.3618707,0.36791295,0.37191996,0.50391036,0.5408213,0.4608163,0.41361907,0.44671154,0.46460184,0.52105457,0.41358665,0.39923823,0.45509648,0.48523396,0.53694576,0.50837517,0.5948916,0.7309633,0.9999998,0.62524277,0.6833043,0.53815204,0.41699898,0.41871968,0.58400404,0.3712735,0.435619,0.51100624,0.49180847,0.4489428,0.41092473,0.4079815,0.46280575,0.4217985,0.3969603,0.5141168,0.46889877,0.3941468,0.4465955,0.42405835,0.42511615,0.3471629,0.3662632,0.43275034,0.4502964,0.40669,0.4005064,0.34289244
test/colour_371.jpg,0.40419576,0.34293047,0.38507706,0.3728519,0.39894715,0.45279524,0.5314798,0.52000356,0.439161,0.4496162,0.5402571,0.52927125,0.70524615,0.58110535,0.48833752,0.66302985,0.52768904,0.64724565,0.5490898,0.45540133,0.64927197,0.62524277,1.0,0.6600851,0.6257148,0.61282724,0.62353855,0.7315686,0.42355606,0.43727568,0.5066879,0.4507493,0.54245484,0.49774644,0.5434268,0.54412544,0.5210413,0.4612901,0.4691496,0.46325037,0.4472725,0.40848738,0.45698512,0.45843503,0.41687563,0.39865378,0.4992962,0.44672114,0.44233966,0.49442115,0.35219324
test/colour_376.jpg,0.32305396,0.2867765,0.30758342,0.33810294,0.32027948,0.3205055,0.43253186,0.6148692,0.41822946,0.42890507,0.4751234,0.5336092,0.52483153,0.45440835,0.3569581,0.5233224,0.62162995,0.47993764,0.5800934,0.61310476,0.73478293,0.6833043,0.6600851,0.99999994,0.4867873,0.45622277,0.41952628,0.53354114,0.42236444,0.4501244,0.51872444,0.5936213,0.4484264,0.43638527,0.41791186,0.45436674,0.41477114,0.37697583,0.53439033,0.40208784,0.34609827,0.34474903,0.3607194,0.33618543,0.34456694,0.31601077,0.35884362,0.39914146,0.41137552,0.44790965,0.3115826
test/colour_415.jpg,0.24476324,0.22607753,0.30329514,0.30257225,0.31761524,0.34067553,0.562925,0.43352598,0.5854372,0.5211126,0.55625224,0.4597998,0.7383275,0.4921131,0.54241395,0.6462598,0.45795846,0.68609107,0.43104088,0.4946562,0.48294145,0.53815204,0.6257148,0.4867873,1.0000001,0.57762545,0.48024255,0.6909333,0.32494178,0.37328374,0.552042,0.38275054,0.44898227,0.42358115,0.5691691,0.4581386,0.49355155,0.3790184,0.35206503,0.41350454,0.3449588,0.3959369,0.4283782,0.38566592,0.32373786,0.33133727,0.40384105,0.37545773,0.4733647,0.38391843,0.2744335
test/colour_434.jpg,0.33056495,0.2856611,0.3471046,0.31228766,0.33766788,0.3762946,0.5100477,0.48640612,0.53933805,0.53085715,0.6340679,0.5173236,0.5960932,0.55357534,0.58115447,0.5795434,0.46798962,0.55690926,0.4767831,0.35907018,0.41466367,0.41699898,0.61282724,0.45622277,0.57762545,0.9999998,0.5989475,0.59558284,0.45295095,0.46097755,0.5109748,0.41787785,0.5050861,0.51678824,0.6276179,0.57532966,0.4736786,0.4015149,0.36847705,0.44214922,0.40170467,0.35862058,0.484851,0.44596648,0.43375877,0.39255404,0.451258,0.45592195,0.53268504,0.5094074,0.30834952
test/colour_72.jpg,0.33328104,0.33593246,0.3105544,0.26688337,0.35072052,0.37473798,0.4524249,0.49765408,0.41651058,0.4425424,0.6221256,0.5468652,0.6024847,0.5608228,0.47576857,0.5837177,0.4820665,0.5313416,0.48825493,0.34102228,0.40540978,0.41871968,0.62353855,0.41952628,0.48024255,0.5989475,1.0000001,0.7036166,0.4146076,0.56623334,0.5085011,0.41645133,0.5075778,0.5069146,0.5581318,0.50457674,0.50373405,0.33984575,0.3553012,0.43053332,0.38966998,0.3893849,0.42924413,0.44482005,0.4381133,0.3936202,0.45184004,0.38426906,0.40434474,0.42785987,0.34025583
test/colour_75.jpg,0.36779365,0.41955185,0.36133268,0.35732436,0.40903357,0.44532943,0.58452505,0.5521766,0.47042483,0.5039878,0.5718254,0.5550939,0.7831815,0.6008673,0.50291955,0.6888729,0.5483994,0.71138924,0.5620069,0.46375448,0.52006066,0.58400404,0.7315686,0.53354114,0.6909333,0.59558284,0.7036166,1.0000001,0.5097863,0.5508137,0.5925983,0.4619951,0.5286628,0.60101384,0.52810115,0.51784515,0.57463515,0.44160005,0.41044128,0.508728,0.43884853,0.44803366,0.47804168,0.47295088,0.45273015,0.40928605,0.5193973,0.45728332,0.45756108,0.48962918,0.40060133
test/long_296.jpg,0.459081,0.56862134,0.35847178,0.37577114,0.40849185,0.40432772,0.51456654,0.5467168,0.34767777,0.42445552,0.42420116,0.48909688,0.4845828,0.50318146,0.40532014,0.4729776,0.5809239,0.45439553,0.5499052,0.362862,0.39648837,0.3712735,0.42355606,0.42236444,0.32494178,0.45295095,0.4146076,0.5097863,0.99999976,0.6197271,0.5068493,0.4819229,0.4210948,0.7145679,0.40264854,0.41870168,0.5722827,0.39530218,0.37887257,0.56450313,0.44949654,0.48145545,0.44818875,0.49465477,0.46043977,0.44667277,0.48255256,0.46032977,0.45234278,0.52835447,0.4755058
test/long_334.jpg,0.42880568,0.5307023,0.31946418,0.38497555,0.44091487,0.43884796,0.588158,0.7598725,0.40749905,0.45074978,0.61913073,0.7369829,0.50452155,0.6360896,0.4647736,0.4934711,0.723851,0.5302249,0.7530561,0.49659684,0.4677063,0.435619,0.43727568,0.4501244,0.37328374,0.46097755,0.56623334,0.5508137,0.6197271,0.99999994,0.63060814,0.64361537,0.59656465,0.6806652,0.4347236,0.54312396,0.5867085,0.46869087,0.41453144,0.6357951,0.5598254,0.49278015,0.47223103,0.5852107,0.45407858,0.4794048,0.569251,0.5103597,0.47319835,0.48925814,0.5488919
